rx:   72 | 01005e00 00163cec ef62ad7d 080046c0 00300000 40000102
rx:  100 | 33330000 00163cec ef62ad7d 86dd6000 00000024 00010000
rx:   79 | 01005e00 00fc3cec ef62ad7d 08004500 00377c3f 0000ff11
rx:  101 | 01005e00 00fb3cec ef62ad7d 08004500 004d944a 0000ff11
rx:   79 | 01005e00 00fc3cec ef62ad7d 08004500 00377cda 0000ff11
rx:  101 | 01005e00 00fb3cec ef62ad7d 08004500 004d946e 0000ff11
rx:   79 | 01005e00 00fc3cec ef62ad7d 08004500 00377d56 0000ff11
rx:   72 | 01005e00 00163cec ef62ad7d 080046c0 00300000 40000102
rx:  100 | 33330000 00163cec ef62ad7d 86dd6000 00000024 00010000
rx:  101 | 01005e00 00fb3cec ef62ad7d 08004500 004d965b 0000ff11
rx:  130 | 01005e00 00fb3cec ef62ad7d 08004500 006a9737 0000ff11
